shape_variant_id,version_id,shape_id,trip_headsign,is_main,note
104129,101502,S297,Kőbánya alsó vasútállomás,0,
104130,101502,V820,Kőbánya alsó vasútállomás,0,
104131,101503,5568,Száva kocsiszín,0,
104132,101503,X750,Kőbánya alsó vasútállomás (Mázsa tér),1,
104133,101503,X765,Kőbánya alsó vasútállomás (Mázsa tér),0,
104134,101503,5572,Zugló kocsiszín,0,
104135,101503,5912,Mexikói út M,0,
104136,101503,B098,Mexikói út M,0,
104137,101503,J408,Örs vezér tere - Kőbánya M,0,
104138,101503,L188,Mexikói út M,0,
104139,101504,L667,Dunaharaszti külső,0,
104140,101504,L678,Közvágóhíd,0,
104141,101504,L679,Közvágóhíd,0,
104142,101504,1230,Közvágóhíd,0,
104143,101504,L655,Közvágóhíd,0,
104144,101504,L656,Közvágóhíd,0,
104145,101504,L657,Közvágóhíd,1,
104146,101504,L658,Közvágóhíd,0,
104147,101504,L659,Közvágóhíd,0,
104148,101504,L668,Dunaharaszti külső,0,
104149,101504,L669,Dunaharaszti külső,0,
104150,101505,L680,Tököl,0,
104151,101505,2267,Tököl,0,
104152,101505,L635,Tököl,0,
104153,101505,L670,Tököl,1,
104154,101505,L671,Tököl,0,
104155,101505,L674,Tököl,0,
104156,101506,T895,Bécsi út (Vörösvári út),1,
104157,101506,Q707,Bécsi út (Vörösvári út),0,
104158,101507,Q588,"Óbuda, Bogdáni út",1,
104159,101507,Q717,Óbudai autóbuszgarázs,0,
104160,101507,Q719,Közvágóhíd,0,
104161,101507,Q721,"Óbuda, Bogdáni út",0,
104162,101507,R463,Puskás Ferenc Stadion M,0,
104163,101508,X578,Nyugati pályaudvar M,1,
104164,101508,S018,"Árpádföld, Dezsőfia utca",0,
104165,101508,S020,Örs vezér tere M+H,0,
104166,101508,V051,"Árpádföld, Dezsőfia utca",0,
104167,101508,V053,Nyugati pályaudvar M,0,
104168,101508,Q609,Nyugati pályaudvar M,0,
104169,101508,Q610,"Árpádföld, Dezsőfia utca",0,
104170,101508,Q742,"Árpádföld, Dezsőfia utca",0,
104171,101508,Q743,Örs vezér tere M+H,0,
104172,101509,R938,Széll Kálmán tér M,0,
104173,101509,R942,Móricz Zsigmond körtér,0,
104174,101509,X396,Móricz Zsigmond körtér,1,
104175,101509,X397,Széll Kálmán tér M,0,
104176,101509,A286,Széll Kálmán tér M,0,
104177,101509,Q595,Móricz Zsigmond körtér,0,
104178,101509,Q731,Móricz Zsigmond körtér,0,
104179,101509,Q732,Széll Kálmán tér M,0,
104180,101510,X132,Örs vezér tere M+H,0,
104181,101510,D366,Budapesti út,0,
104182,101510,G139,Örs vezér tere M+H,1,
104183,101510,O804,Sasvár utca,0,
104184,101511,L995,"Rákoskeresztúr, városközpont",0,
104185,101511,L997,"Újpalota, Nyírpalota út",1,
104186,101511,L998,Cinkotai autóbuszgarázs,0,
104187,101511,M041,"Újpalota, Nyírpalota út",0,
104188,101512,M760,"Soroksár, BILK",1,
104189,101512,M762,BILK bekötőút,0,
104190,101512,P927,"Soroksár, BILK",0,
104191,101513,R706,Nyugati pályaudvar M,1,
104192,101513,S136,Vend utca,0,
104193,101514,R707,Széll Kálmán tér M,1,
104194,101515,U156,Árpád híd M,1,
104195,101515,U161,Árpád híd M,0,
104196,101516,U157,Boráros tér H,1,
104197,101516,U162,Lehel tér M,0,
104198,101516,U163,Boráros tér H,0,
104199,101517,K028,Széher út,1,
104200,101517,K108,Széher út,0,
104201,101518,K029,Széll Kálmán tér M,1,
104202,101519,I366,Békásmegyer H,0,
104203,101519,G396,Békásmegyer H,1,
104204,101520,I367,Batthyány tér M+H,0,
104205,101520,G397,Batthyány tér M+H,1,
104206,101520,G937,Batthyány tér M+H,0,
104207,101521,S294,"Maglód, Auchan áruház",0,
104208,101521,S245,"Maglód, Auchan áruház",1,
104209,101521,S246,"Rákoskeresztúr, vkp. (városhatár felé)",0,
104210,101522,T866,Kőbánya alsó vasútállomás,1,
104211,101522,M021,"Rákoskeresztúr, vkp. (metró felé)",0,
104212,101522,S293,Kőbánya alsó vasútállomás,0,
104213,101523,R828,"Solymár, PEMÜ",0,
104214,101523,R842,Templom tér,1,
104215,101523,R844,"Solymár, PEMÜ",0,
104216,101524,G186,"Pestszentlőrinc, Mednyánszky utca",0,
104217,101524,H990,Pestszentimre vasútállomás (Dózsa Gy.u.),0,
104218,101524,G187,Ferihegy vasútállomás,0,
104219,101524,G188,"Pestszentlőrinc, Mednyánszky utca",0,
104220,101524,H988,Ferihegy vasútállomás,1,
104221,101525,H989,Gubacsi út,0,
104222,101525,G189,"Pestszentlőrinc, Béke tér",0,
104223,101525,M768,Gubacsi út,1,
104224,101526,E182,"Pestszentlőrinc, Mednyánszky utca",0,
