service_id,date,exception_type
C72451AHCSzN-061,20250612,1
C72451AHCSzN-061,20250616,1
C72451AHCSzN-061,20250617,1
C72451AHCSzN-061,20250618,1
C72451AHCSzN-061,20250619,1
C72452APPSzN-061,20250523,1
C72452APPSzN-061,20250530,1
C72452APPSzN-061,20250606,1
C72452APPSzN-061,20250613,1
C72452APPSzN-061,20250620,1
C73444ASVBR-0031,20250518,1
C73444ASVBR-0031,20250524,1
C73444ASVBR-0031,20250525,1
C73444ASVBR-0031,20250531,1
C73444ASVBR-0031,20250601,1
C73444ASVBR-0031,20250607,1
C73444ASVBR-0031,20250608,1
C73444ASVBR-0031,20250609,1
C73444ASVBR-0031,20250614,1
C73444ASVBR-0031,20250615,1
C73444ASVBR-0031,20250621,1
C73444ASVBR-0031,20250622,1
C73444ASVBR-0031,20250628,1
C73444ASVBR-0031,20250629,1
C73533ASVMM-0051,20250531,1
C73533ASVMM-0051,20250601,1
C73533ASVMM-0051,20250607,1
C73533ASVMM-0051,20250608,1
C73533ASVMM-0051,20250609,1
C73533ASVMM-0051,20250614,1
C73533ASVMM-0051,20250615,1
C73533ASVMM-0051,20250621,1
C73533ASVMM-0051,20250622,1
C73533ASVMM-0051,20250628,1
C73533ASVMM-0051,20250629,1
C73534AHPMM-0051,20250519,1
C73534AHPMM-0051,20250520,1
C73534AHPMM-0051,20250521,1
C73534AHPMM-0051,20250526,1
C73534AHPMM-0051,20250527,1
C73534AHPMM-0051,20250528,1
C73534AHPMM-0051,20250529,1
C73534AHPMM-0051,20250530,1
C73534AHPMM-0051,20250602,1
C73534AHPMM-0051,20250603,1
C73534AHPMM-0051,20250604,1
C73534AHPMM-0051,20250605,1
C73534AHPMM-0051,20250606,1
C73534AHPMM-0051,20250610,1
C73534AHPMM-0051,20250611,1
C73534AHPMM-0051,20250612,1
C73534AHPMM-0051,20250613,1
C73534AHPMM-0051,20250616,1
C73534AHPMM-0051,20250617,1
C73534AHPMM-0051,20250618,1
C73534AHPMM-0051,20250619,1
C73534AHPMM-0051,20250620,1
C73535K1HPMM-0061,20250623,1
C73535K1HPMM-0061,20250624,1
C73535K1HPMM-0061,20250625,1
C73535K1HPMM-0061,20250626,1
C73535K1HPMM-0061,20250627,1
C73535K1HPMM-0061,20250630,1
C73535K1HPMM-0061,20250701,1
C73551ASZSzN-101,20250524,1
C73551ASZSzN-101,20250531,1
C73553AVVSzN-101,20250518,1
